image_id,image_path,face_confidence,detection_time,original_size,face_region_size,processed_size,face_box,min_face_size,scale_factor,ssim_score,psnr_score,mse_score,mae_score,original_blur,processed_blur,blur_degradation,original_sharpness,processed_sharpness,sharpness_degradation,original_contrast,processed_contrast,contrast_change,histogram_correlation,edge_preservation,mean_pixel_diff,std_pixel_diff,processed_path,comparison_path,original_crop_path
img_0000,images/celeb-dataset/chinese/ronnychieng/AAAABWnaWoOPyCZ3O3zUx2gIvpbOgqFgekj-CU9uxXuMu9iZKXn9VqeQfrTJAKgZ3sZNRZXiXR3lp58xIAQTAw0M1xGHxAd4R3gYcS1L.jpg,0.9999997019767761,0.8005509376525879,2026640,90915,25600,"[821, 164, 285, 319]",40,0.709,1.0,0.0,0.0,0.0,1889.1849133163453,1889.1849133163453,0.0,79.21327128288641,79.21327128288641,0.0,54.69788643498958,54.69788643498958,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0000_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0000_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0000_original.jpg
img_0001,images/celeb-dataset/chinese/ronnychieng/240308-Ronny-Chieng-al-1232-d19fc8.jpg,0.9999577403068542,0.7678158283233643,1500000,84909,25600,"[807, 176, 249, 341]",40,0.709,1.0,0.0,0.0,0.0,528.2792235580445,528.2792235580445,0.0,69.61376165308667,69.61376165308667,0.0,59.5199840622414,59.5199840622414,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0001_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0001_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0001_original.jpg
img_0002,images/celeb-dataset/chinese/ronnychieng/AAAAQWM1wTn6kH5qJbEIippTdLFW3nRxIR5or1dQMl8X85cV54rGA_ySMmOZdIt3EadFY6MaZ6FszKtWlQk8vZdC3Tk8M5ZDH86irkny8s88LJDYa-ljzvRuRZQmyMs8fj9gvDV9ZAeqMvDdj6zD_cl4J1Jq.jpg,0.998928427696228,0.7981183528900146,1800000,50490,25600,"[233, 141, 198, 255]",40,0.709,1.0,0.0,0.0,0.0,155.22558929290773,155.22558929290773,0.0,50.94651608803441,50.94651608803441,0.0,51.77394536252863,51.77394536252863,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0002_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0002_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0002_original.jpg
img_0003,images/celeb-dataset/chinese/ronnychieng/244936.jpg,0.9999014735221863,0.6162407398223877,666000,24453,25600,"[369, 94, 143, 171]",40,0.709,1.0,0.0,0.0,0.0,185.73149083099364,185.73149083099364,0.0,58.42752106699832,58.42752106699832,0.0,53.088063538185075,53.088063538185075,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0003_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0003_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0003_original.jpg
img_0004,images/celeb-dataset/chinese/ronnychieng/PPymkSZt_400x400.jpg,0.9999747276306152,0.4702575206756592,160000,15582,25600,"[160, 67, 106, 147]",40,0.709,1.0,0.0,0.0,0.0,88.29088617553711,88.29088617553711,0.0,49.879826586904876,49.879826586904876,0.0,62.82085817350216,62.82085817350216,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0004_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0004_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0004_original.jpg
img_0005,images/celeb-dataset/chinese/ronnychieng/901343_v9_bb.jpg,0.9999876022338867,0.8173754215240479,1555200,442141,25600,"[226, 258, 581, 761]",40,0.709,1.0,0.0,0.0,0.0,1131.5725266052245,1131.5725266052245,0.0,58.7973376986155,58.7973376986155,0.0,45.03717184343089,45.03717184343089,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0005_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0005_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0005_original.jpg
img_0006,images/celeb-dataset/chinese/ronnychieng/AAAABe2wZ2YVKZQ8BvF8mFd-WoMd547nFmxTxY6faBlBNKE03ioalQeE53_Qt85Bxpgb8abYQBFyZc5B32_Fqzjug3vb_JlDU-042iWAgcNiFRRAPb-Q6VdiD8Nh4_GsDprzAmH0LA.jpg,0.9999988675117493,0.5938856601715088,283500,24165,25600,"[55, 66, 135, 179]",40,0.709,1.0,0.0,0.0,0.0,528.9969816146851,528.9969816146851,0.0,69.21074958384953,69.21074958384953,0.0,63.84368974466715,63.84368974466715,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0006_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0006_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0006_original.jpg
img_0007,images/celeb-dataset/chinese/ronnychieng/shang-chi-ronny-chieng-singaporean-ah-beng-role-comment.jpg,0.9997609257698059,0.8406603336334229,2540000,490752,25600,"[689, 222, 639, 768]",40,0.709,1.0,0.0,0.0,0.0,2259.734338340759,2259.734338340759,0.0,68.00911138488306,68.00911138488306,0.0,49.407195951876155,49.407195951876155,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0007_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0007_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0007_original.jpg
img_0008,images/celeb-dataset/chinese/ronnychieng/MRVOGUE_VOGUESG_ONLINE9-1-680x1020.jpg,0.9995958209037781,0.6128981113433838,693600,4697,25600,"[292, 222, 61, 77]",40,0.709,1.0,0.0,0.0,0.0,52.02166815795898,52.02166815795898,0.0,56.654680131690455,56.654680131690455,0.0,52.50363635884756,52.50363635884756,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0008_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0008_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0008_original.jpg
img_0009,images/celeb-dataset/chinese/ronnychieng/hodinkee_talking_watches_ronnie_chieng.jpg,0.9998905062675476,1.1012287139892578,6000000,231451,25600,"[1182, 364, 397, 583]",40,0.709,1.0,0.0,0.0,0.0,799.9463677597046,799.9463677597046,0.0,46.15610401222376,46.15610401222376,0.0,55.20570294008922,55.20570294008922,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/chinese_ronnychieng/images/processed_faces/img_0009_processed.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/side_by_side/img_0009_comparison.jpg,celebrity_mtcnn_analysis/chinese_ronnychieng/images/original_crops/img_0009_original.jpg
