image_id,image_path,face_confidence,detection_time,original_size,face_region_size,processed_size,face_box,min_face_size,scale_factor,ssim_score,psnr_score,mse_score,mae_score,original_blur,processed_blur,blur_degradation,original_sharpness,processed_sharpness,sharpness_degradation,original_contrast,processed_contrast,contrast_change,histogram_correlation,edge_preservation,mean_pixel_diff,std_pixel_diff,processed_path,comparison_path,original_crop_path
img_0000,images/celeb-dataset/indian/irrfankhan/866fd52a6df6e549c883b22f442e4eca.jpg,0.9999635815620422,0.587681770324707,375000,49987,25600,"[175, 123, 193, 259]",40,0.709,1.0,0.0,0.0,0.0,553.7954791931153,553.7954791931153,0.0,57.38591618057302,57.38591618057302,0.0,72.79439885500504,72.79439885500504,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0000_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0000_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0000_original.jpg
img_0001,images/celeb-dataset/indian/irrfankhan/285535_2904105_updates.jpg,0.9999946355819702,0.5222325325012207,285200,16132,25600,"[333, 68, 109, 148]",40,0.709,1.0,0.0,0.0,0.0,154.96631493530273,154.96631493530273,0.0,73.07139487129673,73.07139487129673,0.0,71.32415548305563,71.32415548305563,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0001_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0001_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0001_original.jpg
img_0002,images/celeb-dataset/indian/irrfankhan/Irrfan-Khan-IANS.jpg,0.9999999403953552,0.5578615665435791,400000,31464,25600,"[342, 46, 152, 207]",40,0.709,1.0,0.0,0.0,0.0,125.11625243988037,125.11625243988037,0.0,56.27373849161752,56.27373849161752,0.0,53.07900437612128,53.07900437612128,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0002_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0002_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0002_original.jpg
img_0003,images/celeb-dataset/indian/irrfankhan/2220626-sunil_played_by_irrfan_khan_on_in_treatmentcopy-1589363779.jpg,0.9993433356285095,0.5825936794281006,426400,57960,25600,"[194, 95, 210, 276]",40,0.709,1.0,0.0,0.0,0.0,531.4459022460937,531.4459022460937,0.0,65.53572662401716,65.53572662401716,0.0,60.820477038955346,60.820477038955346,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0003_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0003_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0003_original.jpg
img_0004,images/celeb-dataset/indian/irrfankhan/Irfan-Khan-Post-Treatment.jpg,0.9999951124191284,0.6125106811523438,960000,33649,25600,"[280, 312, 161, 209]",40,0.709,1.0,0.0,0.0,0.0,576.1122777694702,576.1122777694702,0.0,76.97146767770369,76.97146767770369,0.0,64.02738014657115,64.02738014657115,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0004_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0004_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0004_original.jpg
img_0005,images/celeb-dataset/indian/irrfankhan/irrfan_khan_bw.jpg,0.999480664730072,0.5403246879577637,366626,48312,25600,"[367, 117, 198, 244]",40,0.709,1.0,0.0,0.0,0.0,2453.8326400375367,2453.8326400375367,0.0,99.69268480899638,99.69268480899638,0.0,69.9314092909502,69.9314092909502,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0005_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0005_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0005_original.jpg
img_0006,images/celeb-dataset/indian/irrfankhan/irrfan-khan.jpg,0.9989692568778992,0.5110013484954834,169200,56156,25600,"[78, 92, 202, 278]",40,0.709,1.0,0.0,0.0,0.0,885.6537694335937,885.6537694335937,0.0,81.85205435675337,81.85205435675337,0.0,56.71087088512014,56.71087088512014,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0006_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0006_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0006_original.jpg
img_0007,images/celeb-dataset/indian/irrfankhan/irrfan-khan-7592.jpg,0.9999958872795105,0.5133049488067627,320298,44880,25600,"[262, 90, 176, 255]",40,0.709,1.0,0.0,0.0,0.0,158.33077419433593,158.33077419433593,0.0,48.21668656996556,48.21668656996556,0.0,52.16587298790124,52.16587298790124,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0007_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0007_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0007_original.jpg
img_0008,images/celeb-dataset/indian/irrfankhan/Irrfan-Khan (1).jpg,0.9999935030937195,0.5407650470733643,388800,62622,25600,"[269, 101, 213, 294]",40,0.709,1.0,0.0,0.0,0.0,157.94648827514652,157.94648827514652,0.0,45.34704245404791,45.34704245404791,0.0,48.05946717865816,48.05946717865816,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0008_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0008_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0008_original.jpg
img_0009,images/celeb-dataset/indian/irrfankhan/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_.jpg,0.9999993443489075,1.0574018955230713,119600,18012,25600,"[90, 58, 114, 158]",40,0.709,1.0,0.0,0.0,0.0,214.23954052124023,214.23954052124023,0.0,57.641386146878794,57.641386146878794,0.0,45.63488538556936,45.63488538556936,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/indian_irrfankhan/images/processed_faces/img_0009_processed.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/side_by_side/img_0009_comparison.jpg,celebrity_mtcnn_analysis/indian_irrfankhan/images/original_crops/img_0009_original.jpg
