image_id,image_path,face_confidence,detection_time,original_size,face_region_size,processed_size,face_box,min_face_size,scale_factor,ssim_score,psnr_score,mse_score,mae_score,original_blur,processed_blur,blur_degradation,original_sharpness,processed_sharpness,sharpness_degradation,original_contrast,processed_contrast,contrast_change,histogram_correlation,edge_preservation,mean_pixel_diff,std_pixel_diff,processed_path,comparison_path,original_crop_path
img_0000,images/celeb-dataset/malay/sitinurhaliza/siti_nurhaliza_nicotine_pouch.jpg,0.9959099292755127,0.5198240280151367,302400,3869,25600,"[155, 38, 53, 73]",40,0.709,1.0,0.0,0.0,0.0,37.749356536865236,37.749356536865236,0.0,50.16305096768606,50.16305096768606,0.0,44.11153410512015,44.11153410512015,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0000_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0000_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0000_original.jpg
img_0001,images/celeb-dataset/malay/sitinurhaliza/Screenshot_2024-01-15-21-59-56-92_1c337646f29875672b5a61192b9010f9-e1705561969745.jpg,0.9999943971633911,0.5849132537841797,771120,64807,25600,"[426, 111, 229, 283]",40,0.709,1.0,0.0,0.0,0.0,365.4505694335937,365.4505694335937,0.0,66.38601568671108,66.38601568671108,0.0,69.71470635330462,69.71470635330462,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0001_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0001_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0001_original.jpg
img_0002,images/celeb-dataset/malay/sitinurhaliza/siti_nurhaliza_781-orig1544440093.jpg,0.9999998807907104,0.6394393444061279,1440000,42735,25600,"[783, 71, 185, 231]",40,0.709,1.0,0.0,0.0,0.0,356.3676206970215,356.3676206970215,0.0,74.9677417823658,74.9677417823658,0.0,80.84413263206102,80.84413263206102,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0002_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0002_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0002_original.jpg
img_0003,images/celeb-dataset/malay/sitinurhaliza/Siti_Nurhaliza_Performing_Memories_-_Dato'_Siti_Nurhaliza_&_Friends_(Cropped).jpg,0.9879732131958008,0.8757302761077881,2102118,31950,25600,"[365, 46, 150, 213]",40,0.709,1.0,0.0,0.0,0.0,676.6795996688845,676.6795996688845,0.0,95.17163610512438,95.17163610512438,0.0,54.163895983724075,54.163895983724075,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0003_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0003_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0003_original.jpg
img_0004,images/celeb-dataset/malay/sitinurhaliza/191032.jpg,0.9999391436576843,0.6650710105895996,665000,26554,25600,"[420, 103, 142, 187]",40,0.709,1.0,0.0,0.0,0.0,297.6461567855835,297.6461567855835,0.0,54.288230040500245,54.288230040500245,0.0,34.58497372725392,34.58497372725392,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0004_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0004_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0004_original.jpg
img_0005,images/celeb-dataset/malay/sitinurhaliza/247093.jpg,0.9998102188110352,0.6163761615753174,666000,24992,25600,"[469, 107, 142, 176]",40,0.709,1.0,0.0,0.0,0.0,203.91259222259524,203.91259222259524,0.0,44.55920603769813,44.55920603769813,0.0,36.81958427097115,36.81958427097115,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0005_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0005_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0005_original.jpg
img_0006,images/celeb-dataset/malay/sitinurhaliza/0011806a9492e23fa9b298a165fc69e9.jpg,0.978689968585968,0.5346934795379639,360000,15696,25600,"[110, 107, 109, 144]",40,0.709,1.0,0.0,0.0,0.0,570.8434651962281,570.8434651962281,0.0,66.4277224712535,66.4277224712535,0.0,45.715358281955915,45.715358281955915,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0006_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0006_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0006_original.jpg
img_0007,images/celeb-dataset/malay/sitinurhaliza/2653959.jpg,0.9988192915916443,0.5231857299804688,270000,29070,25600,"[225, 35, 153, 190]",40,0.709,1.0,0.0,0.0,0.0,184.51624872436523,184.51624872436523,0.0,40.59042251739657,40.59042251739657,0.0,24.332149822333854,24.332149822333854,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0007_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0007_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0007_original.jpg
img_0008,images/celeb-dataset/malay/sitinurhaliza/imgonline-com-ua-FrameBlurred-qqlBfIusMkPwTEQX.jpg,0.9999061822891235,1.8452410697937012,11139752,293586,25600,"[1827, 488, 501, 586]",40,0.709,1.0,0.0,0.0,0.0,1783.8033135971073,1783.8033135971073,0.0,70.99209106390119,70.99209106390119,0.0,44.99156402799643,44.99156402799643,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0008_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0008_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0008_original.jpg
img_0009,images/celeb-dataset/malay/sitinurhaliza/Siti_Nurhaliza.jpg,0.999680757522583,0.4522590637207031,75000,17480,25600,"[64, 85, 115, 152]",40,0.709,1.0,0.0,0.0,0.0,582.960698022461,582.960698022461,0.0,63.513485310294406,63.513485310294406,0.0,61.612690160921076,61.612690160921076,0.0,1.0,1.0,0.0,0.0,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/processed_faces/img_0009_processed.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/side_by_side/img_0009_comparison.jpg,celebrity_mtcnn_analysis/malay_sitinurhaliza/images/original_crops/img_0009_original.jpg
